vertical,brand,category,size_signal,why_fit,contact_url,title_to_address,ticket_ils_yr,priority,verification_status,notes
HITECH,JFrog,Public IL HQ,Employer-brand heavy,Recruiting halo culture-signal,jfrog.com,Head of Brand,30000-80000,B,form-only,
HITECH,AppsFlyer,Late-stage private ~$2B val,Marketing-attribution culture,Understands sponsorship ROI,appsflyer.com,VP Marketing,30000-80000,B,form-only,
HITECH,HiBob,Series D+ $250-300M ARR,HRtech employer-brand,Best-place-to-work narrative London office Bridlington,hibob.com,CMO,30000-80000,A,form-only,WARMEST PATH #5
HITECH,Papaya Global,Unicorn global payroll,Pays workers 160 countries,Israel kid earning on Pro Tour fit,papayaglobal.com,CMO,30000-80000,B,form-only,
HITECH,Pagaya,Public NASDAQ,IL pride sponsorship narrative,Mgmt incl named contacts on IR page,pagaya.com,Head of Comms,25000-70000,C,form-only,
HITECH,Riskified,Public,Consumer-trust brand,Clean youth athlete on-brand,riskified.com,CMO,20000-60000,C,form-only,
HITECH,Nayax,Public TASE/NASDAQ,Payments hardware 80+ countries,Co-branded merch potential,ir.nayax.com,Marketing Director,20000-60000,C,form-only,
HITECH,SimilarWeb,Public $1B+ val,Data-storytelling culture,Measurable sponsorships,similarweb.com,CMO,20000-60000,C,form-only,
HITECH,Yotpo,Unicorn $1.4B val,e-comm marketing,Merch/D2C activation natural,yotpo.com,CMO,20000-60000,C,form-only,
HITECH,WalkMe,Public SAP-acquired,Post-acquisition rebrand,Budget likely active,walkme.com,Brand Director,20000-50000,C,form-only,
HITECH,SentinelOne,Public NYSE IL-founded,Recruiting halo,Differentiation vs Wiz/Cybereason,sentinelone.com,CMO,30000-80000,B,form-only,Cyber rivalry play
HITECH,Cybereason,Late-stage private,Employer brand,Sponsor rivalry vs SentinelOne,cybereason.com,CMO,20000-60000,C,form-only,Cyber rivalry play
HITECH,Wiz,Hyper-growth $12B val IL-founded,Flush IL-pride story,Small but loud sponsorships fit,wiz.io,Head of Brand,30000-100000,A,form-only,Cyber rivalry play wealthiest
EV,Polestar IL,Performance EV Swedish,IL importer UMI,Design-forward youth premium TOP MATCH,umi.co.il,Marketing Director,40000-80000,A,form-only,WARMEST EV #1
EV,BYD IL,Chinese EV value+volume,Lubinski Group importer,#1 selling EV IL 2024 heavy budget,lubinski.co.il,Marketing Director,50000-100000,A,form-only,Includes car loaner
EV,MG Motor IL,Sport EV value,Auto Chen Group importer,MG4 sport positioning value-young,autochen.co.il,Marketing,25000-60000,B,form-only,
EV,Cupra IL,Spanish sport EV,Champion Motors importer,Racing DNA literal speed+young match,championmotors.co.il,Marketing Director,30000-70000,A,form-only,WARMEST EV #2 Cupra Born loaner
EV,Geely IL (incl Zeekr),Chinese EV,UMI importer,New IL entrant launch budget,umi.co.il,Marketing Director,30000-60000,B,form-only,
EV,Smart #1/#3,Urban young EV,Champion Motors,IG-friendly Gen-Z,championmotors.co.il,Marketing,20000-50000,B,form-only,
EV,Voyah,Chinese premium new entrant,Lubinski,Brand-build mode,lubinski.co.il,Marketing Director,25000-60000,C,form-only,
EV,Ora (GWM),Quirky design,Auto Chen,Female/young Gen-Z lean,autochen.co.il,Marketing,20000-45000,C,form-only,
EV,Skywell ET5,Sport coupe EV,Auto Chen,Brand awareness push,autochen.co.il,Marketing,25000-50000,C,form-only,
EV,Hyundai Ioniq 5N / Kia EV6 GT,Performance EV,Colmobil importer,Sports halo for performance sub-brand,colmobil.co.il,Brand Manager,40000-80000,B,form-only,WARMEST EV #3
